,text,label
733,"brown-gabled, long, and full of seams",0
734,their first-born brother as a god.,1
735,what flecks the outer gray beyond,0
736,"through the salt sea foam,",0
737,they shaped our future; we but carve their names.,0
738,three banks in three degrees the sailors bore;,0
739,"or at the church, she ever bore herself",0
740,"who cometh over the hills,",0
741,"well, i guess i looked at that hand",0
742,the blessed memory of thy worth,1
743,and keep my senses straightened,0
744,the likeness of the wood's remembered leaves.,0
745,and not alone by gold;,0
746,"from alton bay to sandwich dome,",0
747,for thatâs his specialty. what creature else,0
748,they had not set there. who had set it there?,0
749,"the one good man in the world who knows me, --",1
750,have seen the danger which i dared not look,-1
751,a way that safely will my passage guide.â,0
752,"on which an army once did feast,",0
753,"may meditate a whole youth's loss,",-1
754,"i see them torn by gallic guns,",-1
755,but because she stept to her star right on through death,2
756,the echoing sounds grow fainter and then cease;,0
757,"no, no, you have dismiss'd me; and i go",0
758,"he says heâs hungry,âhe would rather have",0
759,"she falls back from the freedom she had hoped.""",0
760,all over the vale below.,0
761,i must be home by noon-time with the cart.',0
762,"grander, nobler, than that pilot",1
763,"ez though i wanted to enlist 'em,",0
764,"the quavering thunder thereupon had ceas'd,",2
765,"a ruby, and a pearl, or so,",0
766,"is this a time to be cloudy and sad,",-1
767,which clanged along the mountain's marble brow--,0
768,but thrown in a heap with a crush and a clatter;,-1
769,"they say that 'time assuages,' --",0
770,"flutter,",0
771,oblivion's blankness claims,-1
772,âwhy wonât the farm next to it do for you?â,0
773,the oriole's fledglings fifty times,0
774,and catered for it as the cretan bees,0
775,"whereto we claim sole title by our toil,",0
776,"the foes inclosing, and his friend pursued,",-1
777,"and so,",0
778,"thy outward thus with outward praise is crowned,",1
779,to that mysterious strand.,0
780,"the willows, and the hazel copses green,",0
781,and murmured a strange and solemn air;,-1
782,"all right,' says t'other, 'only step round smart;",0
783,his pass to the majestical far shore.,1
784,the beauty and the joy of their renewed might.,1
785,bedaubed with iridescent dirt.,0
786,"some come ridin' in top-buggies wid de w'eels all painted red,",0
787,"sooner, augustine, sooner far, shall i",0
788,it shines superior on a throne of gold:,1
789,"there's a certain slant of light,",0
790,"first, he mused what the animal substance or herb is",0
791,the pyramids have risen.,0
792,"but now i see, most cruell hee,",-1
793,then to tell.,0
794,"and kissed him with a sister's kiss,",0
795,as if she were a woman. we who have clipt,0
796,"of sainthood in purple the pattern and pick,",0
797,"ay, knelt and worshipped on, as love in beauty's bower,",1
798,"all autumn pil'd, though spring and autumn here",0
799,"men said, into a smile which guile portended,",-1
800,"to match your wit against the maker's will,",0
801,"some moment, nailed on sorrow's cross,",-1
802,"""sorry?  of course you are, though you compress,",0
803,"in prosperous days. like a dim, waning lamp",2
804,"no rest that throbbing slave may ask,",-1
805,"who stood in expectation by,",0
806,"moonstruck with love, and this still thames had heard",1
807,rejection of his humanness,-1
808,"thou feel'st it burning, in and in,--and fear",-1
809,"our saxon tongue has known,--",0
810,obliterate the etchings,-1
811,"and, between the river flowing and the fair green trees a-growing,",1
812,"when, dreadful to behold, from sea we spied",-1
813,even now eclipses the descending moon!--,0
814,"thus hee in scorn. the warlike angel mov'd,",-1
815,"on that shaded day,",0
816,how you sprang! how you threw off the costumes of peace with indifferent hand;,2
817,the poet comes the last!,0
818,when hills are free from snow,0
819,"on her changed world of ruin, waste and wrack,",-1
820,"there is nothing to hope for, i am tired,",-1
821,none will forget it till shall fall the deadly dart!,-1
822,"ho! philip, send, for charity, thy mexican pistoles,",0
823,"and hold the hours as joshua stayed the sun,--",0
824,"but when i read of the brotherhood of lovers, how it was with them;",0
825,"""it is a lie, a damned, infernal lie!""",-1
826,"like your nest,",0
827,around thy place of slumber glowing!,1
828,"thinks i, the down lies dreaming",0
829,both the unseen and the seen;,0
830,kneeling ne'er spoiled silk stockings; quit thy state;,-1
831,"the orchestra had cheered till they were hoarse,",2
832,of brynhilda's love and the wrath of gudrun.,2
833,"such civil war is in my love and hate,",2
834,"take heed (dear heart) of this large privilege,",1
835,the wondering rabbi sought the temple's gate.,0
836,"you turn, o jeanne, on our mystery",0
837,"o so many, many, many",0
838,"a wagon, overarched with evergreen,",0
839,"and changing like a poet's rhymes,",0
840,"_you_ took to follerin' where the prophets beckoned,",0
841,"âthe nymph, who scatters flaming fires around,",-1
842,"even while we gaze, though it awhile avail",0
843,"meekly in the eternal footsteps trod,",0
844,not in the close successive rattle,0
845,for suddenly the sweet bells overcame,1
846,that has a charmingly bourbon air.,1
847,"but half the secret told,",0
848,a graciousness in giving that doth make,1
849,that saw the cross without the bear.,0
850,"at least if so we can, and by the head",0
851,no answer came; but faint and forlorn,-1
852,"""how to observe"" is what thy pages show,",0
853,"euryalus stood listâning while he spoke,",0
854,"--so they feast in the hall of atli, and that eve is the first of the seven.",1
855,till the deaf fury comes your house to sweep!',-1
856,"her visions and those we have seen,--",0
857,"âthese monsters, set out in the open sun,",-1
858,"ah, soul of mine! so brave and wise",1
859,"unhitched the breeching from a shaft,",0
860,then he stripped the shirt of wampum,0
861,"âacca, âtis past! he swims before my sight,",0
862,"they are fastened well, nom d'un chien!",0
863,"the which she bearing home it burned her nest,",-1
864,thy hands all cunning arts that women prize.,1
865,that little barley-cake you keep from him,0
866,and the lure of what is called heaven is little or nothing to me.,2
867,"a spirit, neither here nor there,",0
868,"sometimes towards heav'n and the full-blazing sun,",1
869,it's a pretty early start.,0
870,"till, fur 'z i know, there aint an inch thet i could lay my han' on,",0
871,for peace or rest too well he saw,0
872,"but i, or any demmercrat, feels comf'table to stan' on,",0
873,"they were wet, and glistened with raindrops, shed",0
874,all these were round my steady paces.,0
875,my winter sports begin.,0
876,the deer invites no longer,0
877,"to paris, and you make no sign at all.",0
878,that wisdom's lips seemed borrowing friendship's heart.,1
879,"harsh, featureless, and rude, barrenly perish:",-1
880,and give a meaning to their lives; and still,0
881,the crack as of her splitting. did she take,0
882,"some thought of me, a last fond prayer",1
883,to accomplish suicide.,-1
884,and like the others does not slip,0
885,mere raft of stone;,0
886,above the myriad roofs and spires rise;,0
887,the wheat-blade whispers of the sheaf.,0
888,"of his faint steed; the latter, as he stretchâd",0
889,"flood his black hearthstone till its flames expire,",-1
890,"are angel faces, silent and serene,",1
891,"as round some giant hive, all day and night,",0
